Date,Open,High,Low,Close,Adj Close,Volume,daily_return,log_return,SMA_short,SMA_long,EMA_short,EMA_long,volatility,ATR,RSI,MACD,bollinger_h,bollinger_l,momentum,ROC,Day_of_week,Month,Quarter,lagged_return,lagged_close,volume_change,volume_sma,price_to_sma,high_low_range
2010-08-30,1.313333,1.346,1.307333,1.324667,1.324667,10992000,0.008629951428921645,0.008592926262521373,1.2957334,,1.3026129637206922,,0.033301215751908066,0.053285714285714304,51.102919000285276,-0.012195885833322206,1.4309942794167319,1.161272320583268,0.04466700000000001,3.4896093750000023,0,8,3,-0.002532151257683135,1.313333,0.9304531085353003,10589250.0,1.0223299021233843,0.03866700000000001
2010-08-31,1.310667,1.319333,1.288667,1.298667,1.298667,3016500,-0.01962757432622686,-0.019822753311457997,1.2979334,,1.3018955157714756,,0.03121490605050182,0.05057135714285716,48.22459261468371,-0.011498339846076622,1.3989246407100704,1.1768753592899297,-0.028000000000000025,-2.1105522335295945,1,8,3,0.008629951428921645,1.324667,-0.7255731441048034,9817200.0,1.0005652061962502,0.030666000000000082
2010-09-01,1.308,1.379333,1.306667,1.363333,1.363333,7423500,0.04979413506310704,0.04859408310213598,1.3091334,,1.313065967449389,,0.03290003476759106,0.053333214285714296,55.011652830411826,-0.005662252934746759,1.3856228960187877,1.1847771039812125,0.046665999999999874,3.544252267277903,2,9,3,-0.01962757432622686,1.298667,1.4609646941819991,9503625.0,1.041401128410596,0.0726659999999999
2010-09-02,1.358,1.416,1.354,1.404,1.404,7306500,0.029829102647702443,0.029392868715826168,1.3242667,,1.3295994279131365,,0.03241748890399212,0.05399985714285714,58.67999132171403,0.0022187980976029475,1.3952609152697506,1.1792057847302493,0.09066699999999983,6.903580432380818,3,9,3,0.04979413506310704,1.363333,-0.015760759749444353,9271800.0,1.0602093973970652,0.06199999999999983
2010-09-03,1.391333,1.42,1.377333,1.403333,1.403333,6519000,-0.0004750712250711775,-0.00047518410715839286,1.3372667,,1.3430055319289298,,0.030735178037550947,0.05447607142857142,58.595599036900694,0.00831491730417211,1.4112662957584912,1.172933704241509,0.0786659999999999,5.938549084411404,4,9,3,0.029829102647702443,1.404,-0.1077807431738863,9041325.0,1.0494039820179475,0.04266700000000001
2010-09-07,1.374,1.4,1.366667,1.369333,1.369333,3651000,-0.024228034258440445,-0.02452636152574708,1.34,,1.347792344305488,,0.0313762250364666,0.05390464285714284,54.307998945902455,0.010284071471094336,1.418974495764548,1.171492104235452,0.0706659999999999,5.441425708052949,1,9,3,-0.0004750712250711775,1.403333,-0.43994477680625865,8614350.0,1.0218902985074625,0.033332999999999835
2010-09-08,1.377333,1.396667,1.373333,1.393333,1.393333,4326000,0.017526781286947735,0.01737495866336302,1.3513333,1.32223998,1.356072463522672,1.3610348597425979,0.03060401322396278,0.05085707142857142,56.71566910139064,0.013624188593656772,1.4316204473598075,1.1713127526401923,0.030000000000000027,2.2004895355720144,2,9,3,-0.024228034258440445,1.369333,0.18488085456039438,7869675.0,1.0310801931692202,0.023334000000000188
2010-09-09,1.4,1.403333,1.379333,1.380667,1.380667,5643000,-0.009090432796754144,-0.009132002899561953,1.3567333,1.31799998,1.3605441974276404,1.3618047475958295,0.026860596832031406,0.04819042857142856,55.066529417226725,0.015075434902289464,1.435352572762252,1.1863140272377481,-0.023332999999999826,-1.6618945868945745,3,9,3,0.017526781286947735,1.393333,0.3044382801664356,7553625.0,1.0176406814810253,0.02400000000000002
2010-09-10,1.383333,1.395333,1.317333,1.344667,1.344667,5799000,-0.026074353917345805,-0.026420316977724994,1.3595333,1.31311998,1.3576574342589784,1.3611326790626597,0.027381940866776946,0.050904714285714255,50.56602780097481,0.013168856541220242,1.4273776515988381,1.2114223484011621,-0.058665999999999885,-4.180476052369597,4,9,3,-0.009090432796754144,1.380667,0.027644869750132806,7325325.0,0.9890651446345595,0.07799999999999985
2010-09-13,1.392667,1.393333,1.366667,1.381333,1.381333,5412000,0.027267717583609796,0.02690257621951182,1.3663333,1.31146664,1.3619620825755276,1.361924848511183,0.02665819851552383,0.046190428571428535,54.63289507297736,0.014449949203730439,1.4286268998083018,1.226173100191698,0.01200000000000001,0.8763390643473867,0,9,3,-0.026074353917345805,1.344667,-0.06673564407656496,7120425.0,1.0109780680892428,0.026665999999999856
